bookid,title ,author,genra,rating
#0001,To Kill a Mockingbird,Harper Lee,"Fiction, Classics",4.28
#0002,1984,George Orwell,"Fiction, Dystopian",4.18
#0003,Pride and Prejudice,Jane Austen,"Fiction, Romance, Classics",4.27
#0004,The Great Gatsby,Scott Fitzgerald,"Fiction, Classics",3.93
#0005,Moby-Dick,Herman Melville,"Fiction, Adventure, Classics",3.51
#0006,War and Peace,Leo Tolstoy,"Fiction, Historical, Classics",4.11
#0007,Jane Eyre,Charlotte Brontë,"Fiction, Romance, Classics",4.14
#0008,The Catcher in the Rye,J.D. Salinger,"Fiction, Classics",3.81
#0009,Crime and Punishment,Fyodor Dostoevsky,"Fiction, Psychological, Classics",4.26
#0010,The Brothers Karamazov,Fyodor Dostoevsky,"Fiction, Philosophical, Classics",4.34
#0011,Anna Karenina,Leo Tolstoy,"Fiction, Romance, Classics",4.07
#0012,Brave New World,Aldous Huxley,"Fiction, Dystopian, Science Fiction",3.99
#0013,Wuthering Heights,Emily Brontë,"Fiction, Romance, Classics",3.88
#0014,The Odyssey,Homer,"Fiction, Classics, Epic Poetry",3.76
#0015,Frankenstein,Mary Shelley,"Fiction, Gothic, Science Fiction",3.84
#0016,The Divine Comedy,Dante Alighieri,"Fiction, Classics, Poetry",4.1
#0017,The Iliad,Homer,"Fiction, Classics, Epic Poetry",3.88
#0018,Les Misérables,Victor Hugo,"Fiction, Historical, Classics",4.36
#0019,Great Expectations,Charles Dickens,"Fiction, Classics",3.79
#0020,Dracula,Bram Stoker,"Fiction, Horror, Classics",3.99
#0021,The Hobbit,J.R.R. Tolkien,"Fiction, Fantasy",4.27
#0022,Fahrenheit 451,Ray Bradbury,"Fiction, Dystopian, Science Fiction",3.99
#0023,Don Quixote,Miguel de Cervantes,"Fiction, Classics, Adventure",3.87
#0024,The Picture of Dorian Gray,Oscar Wilde,"Fiction, Classics, Gothic",4.1
#0025,One Hundred Years of Solitude,Gabriel García Márquez,"Fiction, Magical Realism",4.11
#0026,The Adventures of Huckleberry Finn,Mark Twain,"Fiction, Adventure, Classics",3.82
#0027,Alice's Adventures in Wonderland,Lewis Carroll,"Fiction, Fantasy, Classics",4.03
#0028,Catch-22,Joseph Heller,"Fiction, War, Satire",3.98
#0029,The Lord of the Rings,R.R. Tolkien,"Fiction, Fantasy, Adventure",4.49
#0030,The Grapes of Wrath,John Steinbeck,"Fiction, Classics",3.96
#0031,Lolita,Vladimir Nabokov,"Fiction, Classics",3.91
#0032,Beloved,Toni Morrison,"Fiction, Historical, Classics",3.93
#0033,Slaughterhouse-Five,Kurt Vonnegut,"Fiction, Science Fiction, War",4.09
